"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 06 15:51:13 EEST 2019","Fri Sep 06 15:51:14 EEST 2019","1876","","","","","","Open page and login",""
"passed","Fri Sep 06 15:51:14 EEST 2019","Fri Sep 06 15:51:18 EEST 2019","3060","","","","","","Create new customer with valid data",""
